,Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,Version Booster,Booster landing,Date,Time
69,68,CCSFS,"
",4850,GTO,,Success,,F9 B5 B1048.3,Success (drone ship),22 February 2019,01:45
70,69,KSC,Crew Dragon Demo-1,12055,LEO,,Success,,F9 B5 B1051.1,Success (drone ship),2 March 2019,07:49
71,FH 2,KSC,Arabsat-6A,6465,GTO,Arabsat,Success,,Falcon Heavy B5 B1055 (core),Success [h],11 April 2019,22:35
72,70,CCSFS,SpaceX CRS-17,2495,LEO,NASA,Success,,F9 B5 B1056.1,Success (drone ship),4 May 2019,06:48
73,71,CCSFS,Starlink,13620,LEO,SpaceX,Success,,F9 B5 B1049.3,Success (drone ship),24 May 2019,02:30
74,72,VSFB,RADARSAT Constellation,4200,SSO,Canadian Space Agency,Success,,F9 B5 B1051.2,Success (ground pad),12 June 2019,14:17
75,FH 3,KSC,Space Test Program,3700,LEO,USAF,Success,,Falcon Heavy B5 B1057 (core),Failure (drone ship),25 June 2019,06:30
76,73,CCSFS,SpaceX CRS-18,2268,LEO,NASA,Success,,F9 B5 B1056.2,Success (ground pad),25 July 2019,22:01
77,74,CCSFS,AMOS-17,6500,GTO,Spacecom,Success,,F9 B5 B1047.3,No attempt [469],6 August 2019,23:23
78,75,CCSFS,Starlink,15600,LEO,SpaceX,Success,,F9 B5 B1048.4,Success (drone ship),11 November 2019,14:56
79,76,CCSFS,SpaceX CRS-19,2617,LEO,NASA,Success,,F9 B5 B1059.1,Success (drone ship),5 December 2019,17:29
80,77,CCSFS,JCSat-18,6956,GTO,Sky Perfect JSAT,Success,,F9 B5 B1056.3,Success (drone ship),17 December 2019,00:10
